game_id,date,away_team,home_team,park,away_runs,home_runs,innings,day_night,temp,wind_dir,wind_speed,sky,precip
BAL202306100,2023/06/10,KCA,BAL,BAL12,1,6,9,day,85,torf,9,cloudy,none
BAL202306110,2023/06/11,KCA,BAL,BAL12,3,11,9,day,87,tolf,6,cloudy,none
BAL202306130,2023/06/13,TOR,BAL,BAL12,6,11,9,night,79,torf,3,cloudy,none
BAL202306140,2023/06/14,TOR,BAL,BAL12,3,1,9,night,77,torf,12,sunny,none
BAL202306150,2023/06/15,TOR,BAL,BAL12,2,4,9,day,79,rtol,3,cloudy,none
BAL202306230,2023/06/23,SEA,BAL,BAL12,13,1,9,night,73,tolf,1,overcast,none
BAL202306240,2023/06/24,SEA,BAL,BAL12,4,6,10,day,82,fromrf,5,cloudy,none
BAL202306250,2023/06/25,SEA,BAL,BAL12,2,3,9,day,85,fromrf,6,sunny,none
BAL202306260,2023/06/26,CIN,BAL,BAL12,3,10,9,night,79,torf,10,cloudy,none
BAL202306270,2023/06/27,CIN,BAL,BAL12,3,1,9,night,73,tolf,5,cloudy,none
BAL202306280,2023/06/28,CIN,BAL,BAL12,11,7,10,night,79,torf,5,cloudy,none
BAL202306300,2023/06/30,MIN,BAL,BAL12,8,1,9,night,73,tolf,5,cloudy,none
BAL202307010,2023/07/01,MIN,BAL,BAL12,1,0,9,day,81,tolf,6,overcast,none
BAL202307020,2023/07/02,MIN,BAL,BAL12,1,2,9,day,84,tolf,2,cloudy,none
BAL202307140,2023/07/14,MIA,BAL,BAL12,2,5,9,night,81,tolf,6,cloudy,none
BAL202307150,2023/07/15,MIA,BAL,BAL12,5,6,9,night,90,tolf,9,cloudy,none
BAL202307160,2023/07/16,MIA,BAL,BAL12,4,5,9,day,81,torf,2,cloudy,none
BAL202307170,2023/07/17,LAN,BAL,BAL12,6,4,9,night,89,tocf,8,sunny,none
BAL202307180,2023/07/18,LAN,BAL,BAL12,10,3,9,night,87,ltor,8,sunny,none
BAL202307190,2023/07/19,LAN,BAL,BAL12,5,8,9,day,85,tocf,3,cloudy,none
BAL202307280,2023/07/28,NYA,BAL,BAL12,0,1,9,night,84,unknown,5,overcast,none
BAL202307290,2023/07/29,NYA,BAL,BAL12,8,3,9,night,82,tolf,9,cloudy,none
BAL202307300,2023/07/30,NYA,BAL,BAL12,3,9,9,night,83,unknown,0,sunny,none
BAL202308040,2023/08/04,NYN,BAL,BAL12,3,10,9,night,80,tolf,6,cloudy,none
BAL202308050,2023/08/05,NYN,BAL,BAL12,3,7,9,night,85,torf,3,cloudy,none
BAL202308060,2023/08/06,NYN,BAL,BAL12,0,2,9,day,88,rtol,4,cloudy,none
BAL202308080,2023/08/08,HOU,BAL,BAL12,7,6,9,night,81,torf,11,sunny,none
BAL202308090,2023/08/09,HOU,BAL,BAL12,8,2,9,night,85,torf,2,sunny,none
BAL202308100,2023/08/10,HOU,BAL,BAL12,4,5,9,day,79,tolf,4,overcast,none
